ToxPrint_ID,ToxPrint_chemotype_name (original),Level 1,Level 2,Level 3,Level 4,Level 5,Level 2 full,Level 3 full,Level 4 full,Level 5 full
1,atom:element_main_group,atom:element,main_group,,,,atom:element_main_group,atom:element_main_group,atom:element_main_group,atom:element_main_group
2,atom:element_metal_group_I_II,atom:element,metal_group,I_II,,,atom:element_metal_group,atom:element_metal_group_I_II,atom:element_metal_group_I_II,atom:element_metal_group_I_II
3,atom:element_metal_group_III,atom:element,metal_group,III,,,atom:element_metal_group,atom:element_metal_group_III,atom:element_metal_group_III,atom:element_metal_group_III
4,atom:element_metal_metalloid,atom:element,metal,metalloid,,,atom:element_metal,atom:element_metal_metalloid,atom:element_metal_metalloid,atom:element_metal_metalloid
5,atom:element_metal_poor_metal,atom:element,metal,poor_metal,,,atom:element_metal,atom:element_metal_poor_metal,atom:element_metal_poor_metal,atom:element_metal_poor_metal
6,atom:element_metal_transistion_metal,atom:element,metal,transistion_metal,,,atom:element_metal,atom:element_metal_transistion_metal,atom:element_metal_transistion_metal,atom:element_metal_transistion_metal
7,atom:element_noble_gas,atom:element,noble_gas,,,,atom:element_noble_gas,atom:element_noble_gas,atom:element_noble_gas,atom:element_noble_gas
8,bond:C#N_cyano_acylcyanide,bond,C#N,cyano,acylcyanide,,bond:C#N,bond:C#N_cyano,bond:C#N_cyano_acylcyanide,bond:C#N_cyano_acylcyanide
9,bond:C#N_cyano_cyanamide,bond,C#N,cyano,cyanamide,,bond:C#N,bond:C#N_cyano,bond:C#N_cyano_cyanamide,bond:C#N_cyano_cyanamide
10,bond:C#N_cyano_cyanohydrin,bond,C#N,cyano,cyanohydrin,,bond:C#N,bond:C#N_cyano,bond:C#N_cyano_cyanohydrin,bond:C#N_cyano_cyanohydrin
11,bond:C#N_nitrile_ab-acetylenic,bond,C#N,nitrile,ab-acetylenic,,bond:C#N,bond:C#N_nitrile,bond:C#N_nitrile_ab-acetylenic,bond:C#N_nitrile_ab-acetylenic
12,bond:C#N_nitrile_ab-unsaturated,bond,C#N,nitrile,ab-unsaturated,,bond:C#N,bond:C#N_nitrile,bond:C#N_nitrile_ab-unsaturated,bond:C#N_nitrile_ab-unsaturated
13,bond:C#N_nitrile_generic,bond,C#N,nitrile,generic,,bond:C#N,bond:C#N_nitrile,bond:C#N_nitrile_generic,bond:C#N_nitrile_generic
14,bond:C#N_nitrile_isonitrile,bond,C#N,nitrile,isonitrile,,bond:C#N,bond:C#N_nitrile,bond:C#N_nitrile_isonitrile,bond:C#N_nitrile_isonitrile
15,bond:C#N_nitrile,bond,C#N,nitrile,,,bond:C#N,bond:C#N_nitrile,bond:C#N_nitrile,bond:C#N_nitrile
16,bond:C(~Z)~C~Q_a-haloalcohol,bond,C(~Z)~C~Q,a-haloalcohol,,,bond:C(~Z)~C~Q,bond:C(~Z)~C~Q_a-haloalcohol,bond:C(~Z)~C~Q_a-haloalcohol,bond:C(~Z)~C~Q_a-haloalcohol
17,bond:C(~Z)~C~Q_a-halocarbonyl,bond,C(~Z)~C~Q,a-halocarbonyl,,,bond:C(~Z)~C~Q,bond:C(~Z)~C~Q_a-halocarbonyl,bond:C(~Z)~C~Q_a-halocarbonyl,bond:C(~Z)~C~Q_a-halocarbonyl
18,bond:C(~Z)~C~Q_a-haloether,bond,C(~Z)~C~Q,a-haloether,,,bond:C(~Z)~C~Q,bond:C(~Z)~C~Q_a-haloether,bond:C(~Z)~C~Q_a-haloether,bond:C(~Z)~C~Q_a-haloether
19,bond:C(~Z)~C~Q_a-haloketone_perhalo,bond,C(~Z)~C~Q,a-haloketone_perhalo,,,bond:C(~Z)~C~Q,bond:C(~Z)~C~Q_a-haloketone_perhalo,bond:C(~Z)~C~Q_a-haloketone_perhalo,bond:C(~Z)~C~Q_a-haloketone_perhalo
20,bond:C(~Z)~C~Q_b-halocarbonyl,bond,C(~Z)~C~Q,b-halocarbonyl,,,bond:C(~Z)~C~Q,bond:C(~Z)~C~Q_b-halocarbonyl,bond:C(~Z)~C~Q_b-halocarbonyl,bond:C(~Z)~C~Q_b-halocarbonyl
21,bond:C(~Z)~C~Q_haloamine_haloethyl_(N-mustard),bond,C(~Z)~C~Q,haloamine_haloethyl_(N-mustard),,,bond:C(~Z)~C~Q,bond:C(~Z)~C~Q_haloamine_haloethyl_(N-mustard),bond:C(~Z)~C~Q_haloamine_haloethyl_(N-mustard),bond:C(~Z)~C~Q_haloamine_haloethyl_(N-mustard)
22,bond:C(~Z)~C~Q_halocarbonyl_dichloro_quinone_(1_2-),bond,C(~Z)~C~Q,halocarbonyl,dichloro,quinone_(1_2-),bond:C(~Z)~C~Q,bond:C(~Z)~C~Q_halocarbonyl,bond:C(~Z)~C~Q_halocarbonyl_dichloro,bond:C(~Z)~C~Q_halocarbonyl_dichloro_quinone_(1_2-)
23,bond:C(~Z)~C~Q_halocarbonyl_dichloro_quinone_(1_4-),bond,C(~Z)~C~Q,halocarbonyl,dichloro,quinone_(1_4-),bond:C(~Z)~C~Q,bond:C(~Z)~C~Q_halocarbonyl,bond:C(~Z)~C~Q_halocarbonyl_dichloro,bond:C(~Z)~C~Q_halocarbonyl_dichloro_quinone_(1_4-)
24,bond:C(~Z)~C~Q_halocarbonyl_dichloro_quinone_(1_5-),bond,C(~Z)~C~Q,halocarbonyl,dichloro,quinone_(1_5-),bond:C(~Z)~C~Q,bond:C(~Z)~C~Q_halocarbonyl,bond:C(~Z)~C~Q_halocarbonyl_dichloro,bond:C(~Z)~C~Q_halocarbonyl_dichloro_quinone_(1_5-)
25,bond:C(~Z)~C~Q_haloether_dibenzodioxin_1-halo,bond,C(~Z)~C~Q,haloether,dibenzodioxin,1-halo,bond:C(~Z)~C~Q,bond:C(~Z)~C~Q_haloether,bond:C(~Z)~C~Q_haloether_dibenzodioxin,bond:C(~Z)~C~Q_haloether_dibenzodioxin_1-halo
